127.0.0.1 - - [24/Apr/2024:08:58:25 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Apr/2024:08:58:25 +0900] "GET /controller/ HTTP/1.1" 200 9552
0:0:0:0:0:0:0:1 - - [24/Apr/2024:08:58:25 +0900] "GET /controller/resources/js/myfirstjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:08:58:25 +0900] "GET /controller/autocomplete?type=%EC%9E%91%EC%84%B1%EC%9E%90 HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [24/Apr/2024:08:58:33 +0900] "GET /controller/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:08:59:20 +0900] "GET /controller/ HTTP/1.1" 200 9554
0:0:0:0:0:0:0:1 - - [24/Apr/2024:08:59:20 +0900] "GET /controller/autocomplete?type=%EC%9E%91%EC%84%B1%EC%9E%90 HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [24/Apr/2024:08:59:21 +0900] "GET /controller/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:06:23 +0900] "GET /controller/ HTTP/1.1" 200 9549
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:06:23 +0900] "GET /controller/autocomplete?type=%EC%9E%91%EC%84%B1%EC%9E%90 HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:15:38 +0900] "GET /controller/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:23:59 +0900] "GET /controller/ HTTP/1.1" 200 9826
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:23:59 +0900] "GET /controller/autocomplete?type=%EC%9E%91%EC%84%B1%EC%9E%90 HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:24:02 +0900] "GET /controller/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:24:35 +0900] "GET /controller/ HTTP/1.1" 200 9827
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:24:35 +0900] "GET /controller/autocomplete?type=%EC%9E%91%EC%84%B1%EC%9E%90 HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:24:37 +0900] "GET /controller/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:34:26 +0900] "GET /controller/ HTTP/1.1" 200 10024
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:34:26 +0900] "GET /controller/autocomplete?type=%EC%9E%91%EC%84%B1%EC%9E%90 HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:34:27 +0900] "GET /controller/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:34:38 +0900] "GET /controller/artist HTTP/1.1" 200 447
